,Hindi
10," 
           ए पार्टी ओ पार्टी
           
           ए पार्टी पार्टी पार्टी
          
          "
11," 
           आज न छोड़ेंगे बस हमजोली
           
           खेलेंगे हम होली
           
           चाहे भीगे तेरी चुनरिया
           
           चाहे भीगे रे चोली
           
           खेलेंगे हम होली
           
           होली है!
          
          
           अपनी अपनी किस्मत है ये
           
           कोई हँसे, कोई रोये
           
           रंग से कोई अंग भिगोये रे
           
           कोई असुवन से नैन भिगोये
           
           रहने दो ये बहाना
           
           क्या करेगा ज़माना
           
           तुम हो कितनी भोली
           
           खेलेंगे हम होली
           
           आज ना छोड़ेंगे..
          
          
           ऐसे नाता तोड़ गए हैं
           
           मुझसे ये सुख सारे
           
           जैसे जलती आग किसी बन में
           
           छोड़ गए बंजारे
           
           दुःख है इक चिंगारी
           
           भर के ये पिचकारी
           
           आयी मस्तों की टोली
           
           खेलेंगे हम होली
           
           आज ना छोड़ेंगे..
          
          
           
          
"
12," 
           घर हो रही हूँ बोर
           
           तू लगा एल थोड़ा ज़ोर
           
           डिस्को में नाचने का मन करे हार्डकोर
           
           हाँ मैं डैडी को सुला के
           
           अपनी मम्मी को पटा\xa0के
           
           आ जाउंगी तुझसे मिलने
           
           ड्रेस मिनी वाली पा के
           
           जानू कुछ भी तू कर
           
           मुझे नहीं रहना घर
           
           बेबी मुझे मेरे घर से उठा ले
           
           मुझे मेरे घर से उठा एल
           
           उठा ले उठा ले
           
           मुझे\xa0मेरे घर से उठा ले
          
          "
13,"
           आज से पहले
           
           ऐसा हुआ ना
           
           दिल का किसी ने
           
           ऐसे छुआ ना
           
            खामोशी से
            
            दिल में आ के
            
            शोर किसी ने
            
            ऐसा किया ना
           
           
            है धड़कन बदली हुई
            
            सीने में इक हलचल है
            
            तुम्ही से मेरी दुनिया है
            
            तुम्ही से मेरी मंजिल है
           
           
            आज से पहले
            
            ऐसा हुआ ना
            
            दिल का किसी ने
            
            ऐसे छुआ ना
           
           
            मैं देखूं जो तुमको
            
            कहे दिल मेरा
            
            हर पल तुम्हे
            
            देखता ही रहूँ
           
           
            ये ना जाने क्या
            
            हो गया है मुझे
            
            बोले ये दिल
            
            तेरे साथ रहूँ
           
           
            जाऊं तुम्हें छोड़ कर
            
            अब ना कही मैं..
           
           
            है धड़कन बदली हुई
            
            सीने में इक हलचल है
            
            तुम्ही से मेरी दुनिया है
            
            तुम्ही से मेरी मंजिल है
           
           
            आज से पहले
            
            ऐसा हुआ ना
            
            दिल का किसी ने
            
            ऐसे छुआ ना
           
           
            ये आँखें खुले जब भी मेरी सुबह
            
            तुही नज़र मुझको आने लगा
            
            ये शायद तेरे प्यार का रंग है
            
            हर लम्हा जो मुझपे छाने लगा
           
           
            लगता है रहने लगा
            
            है तू मुझ ही में
           
           
            है धड़कन बदली हुई
            
            सीने में इक हलचल है
            
            तुम्ही से मेरी दुनिया है
            
            तुम्ही से मेरी मंजिल है
           
           
            आज से पहले
            
            ऐसा हुआ ना
            
            दिल का किसी ने
            
            ऐसे छुआ ना
           
           
"
14,"
           [आज से तेरी सारी
           
           गलियां मेरी हो गयी
           
           आज से मेरा
           
           घर तेरा हो गया] x २
           
            आज से मेरी सारी खुशियाँ
            
            तेरी हो गयीं
            
            आज से तेरा गम मेरा हो गया
           
           
            ओ तेरे कंधे का जो तिल है
            
            ओ तेरे सीने में जो दिल है
            
            ओ तेरी बिजली का जो बिल है
            
            आज से मेरा हो गया
           
           
            ओ मेरे ख्वाबों का अम्बर
            
            ओ मेरी खुशियों का समन्दर
            
            ओ मेरे पिन कोड का नम्बर
            
            आज से तेरा हो गया
           
           
            तेरे मांथे..
            
            तेरे मांथे के कुमकुम को
            
            मैं तिलक लगा के घूमूँगा
            
            तेरी बाली की छुन छुन को
            
            मैं दिल से लगा के झुमुँगा
           
           
            मेरी छोटी सी भूलों को
            
            तू नदिया में बहा देना
            
            तेरे जुड़े के फूलों को
            
            मैं अपनी शर्ट में पहनूँगा
           
           
            बस मेरे लिए तु माल पुए
            
            कभी कभी बना देना
           
           
            आज से मेरी सारी रतियाँ
            
            तेरी हो गयीं
            
            आज से तेरा दिन मेरा हो गया
           
           
            ओ तेरे कंधे का जो तिल है
            
            ओ तेरे सीने में जो दिल है
            
            www.hinditracks.in
            
            ओ तेरी बिजली का जो बिल है
            
            आज से मेरा हो गया
           
           
            ओ मेरे ख्वाबों का अम्बर
            
            ओ मेरी खुशियों का समन्दर
            
            ओ मेरे पिन कोड का नम्बर
            
            आज से तेरा हो गया
           
           
            तू मांगे सर्दी में अमिया
            
            जो मांगे गर्मी में मुंगफलियां
            
            तू बारिश में अगर कहदे
            
            जा मेरे लिए तू धुप खिला
            
            तो मैं सूरज..
            
            तो मैं सूरज को झटक दूंगा
            
            तो मैं सावन को गटक लूँगा
            
            तो सारे तारों संग चंदा
            
            मैं तेरी गोद में रख दूंगा
           
           
            बस मेरे लिए तू कभी
            
            खिल के मुस्कुरा देना
           
           
            आज से मेरी सारी सदियाँ
            
            तेरी हो गयी
            
            आज से तेरा पल मेरा हो गया
           
           
            ओ तेरे कंधे का जो तिल है
            
            ओ तेरे सीने में जो दिल है
            
            ओ तेरी बिजली का जो बिल है
            
            आज से मेरा हो गया
           
           
            ओ मेरे ख्वाबों का अम्बर
            
            ओ मेरी खुशियों का समन्दर
            
            ओ मेरे पिन कोड का नम्बर
            
            आज से.. तेरा हो गया..
           
           "
15," 
           नाचन लागयो रे बैरागी मन
           
           अरे भागन लागयो रे बैरागी मन
          
          "
16,"
           आज जिद कर रहा है दिल
           
           आज जिद कर रहा है दिल
           
           करना है बस तुझे हासिल
           
           आज जिद कर रहा है दिल
           
            हो मुझमें तू हो भी जा शामिल
            
            आज जिद कर रहा है दिल
           
           
            हो हो..
           
           
            कहीं खुद को मुझमें तू
            
            छोड़ जा, छोड़ जा
            
            तेरे साथ मुझको तू
            
            जोड़ जा, जोड़ जा
            
            ये जो कांच के जैसी
            
            एक दीवार है
            
            मेरी बाहों में उसे
            
            तोड़ जा, तोड़ जा
           
           
            ये जो एक अधूरापन है
            
            एक दुसरे से भर दे
            
            जिसे उम्र भर न भूलें
            
            वो लम्हें मिल जाएँ
           
           
            मान ले मुझे तेरे काबिल
            
            आज जिद कर रहा है दिल
            
            हो.. मुझमें तू हो भी जा शामिल
            
            www.hinditracks.in
            
            आज जिद कर रहा है दिल
           
           
            बेपनाह तुझपे फ़िदा हूँ
            
            बेपनाह तुझे चाहता हूँ
            
            बेपनाह तुझे मानता हूँ
            
            बेपनाह, बेपनाह
           
           
            तू नशा तू खुमार
            
            तेरा जूनून सर पे सवार
            
            आज तू खुद को मेरे यार
            
            दे पिला, दे पिला
           
           
            मुझे सिर्फ तेरी लगन है
            
            उसे मिल के पूरा कर दे
            
            मेरी इतनी सी है ख्वाहिश
            
            तेरा प्यार मिल जाए
           
           
            बन भी जा तू मेरी मंजिल
            
            आज जिद कर रहा है दिल
           
           
            हो मुझमें तू हो भी जा शामिल
            
            आज जिद कर रहा है दिल
           
           
            हम्म हो..
            
            आज जिद कर रहा है दिल
            
            हम्म हो..
            
            आज जिद कर रहा है दिल
           
           "
17," 
           आजा हग मी सीने लग नि
           
           ऐवें दूरों दूरों दिल नु ना ठग नि
           
           आजा हग में सीने लग नि
          
          
           ऐवें दूरों दूरों दिल नु ना ठग नि
          
          
           मेरी हार्टबीट चली ओं अ ड्राइव मुंडेया
           
           मेरे दिल नु पकड़ ले टाइट मुंडेया
          
          
           अब तेरे प्यार को तरसे
           
           डे नाईट मेरी रग रग नि
          
          
           आजा हग मी सीने लग नि
           
           ऐवें दूरों दूरों दिल नु ना ठग नि
           
           आजा हग में सीने लग नि
          
          
           ऐवें दूरों दूरों दिल नु ना ठग नि
          
          
           [ओ तेरा झुमका lightning मारे
           
           तेरा ठुमका\xa0lightning मारे
           
           &amp; शाइनिंग शाइनिंग देख
           
           तैनू आँख मारदे तारे ] x २
          
          
           प्यार वाली रात होवे तेरे साथ वे
           
           सोहन तेरी मानूंगी मैं तेरी हर बात वे
           
           मुझको है क्रेज तेरे बैमान लव का
           
           एक तू ही मुंडा हेगा मेरे मतलब का
          
          
           देख सारे can’t you see
           
           C’mon baby go crazy
           
           छोड़ शर्म हो जा फ्री
           
           सीने लग के ना होवे तू अलग नि
          
          
           सो come hug me सीने लग नि
           
           ऐवें दूरों दूरों दिल नु ना ठग नि
          
          
           ओ तेरा झुमका lightning मारे
           
           तेरा ठुमका\xa0lightning मारे
           
           &amp; शाइनिंग शाइनिंग देख
           
           तैनू आँख मारदे तारे\xa0हाय
          
          
           दो घूँट पी ले मेरी इश्क़ शराब वे
           
           थोड़ी नियत आज कर ले ख़राब वे
           
           प्यार कर प्यार में कमी नहीं छोड़ना
           
           पास आके दिल से तू दिल मेरा जोड़ना
          
          
           गोली मारो दुनिया को
           

           बातें करता है करने दे जग नि
          
          
           आजा हग मी सीने लग नि
           
           ऐवें दूरों दूरों दिल नु ना ठग नि
           
           आजा हग में सीने लग नि
          
          
           ऐवें दूरों दूरों दिल नु ना ठग नि
          
          
           ओ तेरा झुमका lightning मारे
          
          
           तेरा ठुमका\xa0lightning मारे
           
           सो come hug me सीने लग नि
           
           ऐवें दूरों दूरों दिल नु ना ठग नि
          
          
          
          
"
18,"
           (आजा रे.. अब मेरा दिल पुकारा
           
           रो रो के ग़म भी हारा
           
           बदनाम न हो प्यार मेरा
           
           आजा रे..) x 2
           
            आ.. हम्म..
           
           
            मौत मेरी तरफ़ आने लगी
            
            जान तेरी तरफ़ जाने लगी
            
            बोल शाम-ए-जुदाई क्या करे
            
            बोल शाम-ए-जुदाई क्या करे
            
            आस मिलने की तड़पाने लगी
           
           
            आजा रे, अब मेरा दिल पुकारा
            
            रो रो के ग़म भी हारा
            
            बदनाम न हो प्यार मेरा
            
            आजा रे..
           
           
            हो ओ घबराये हाय ये दिल
            
            हो ओ घबराये हाय ये दिल
            
            सपनों में आके कभी मिल
            
            सपनों में आके कभी मिल
           
           
            आजा रे.. अब मेरा दिल पुकारा
            

            
            रो रो के ग़म भी हारा
            
            बदनाम न हो प्यार मेरा
            
            आजा रे..
           
           
            आ.. हम्म..
           
           
            आपने बीमार-ए-ग़म को देख ले
            
            हो सके तो तू हमको देख ले
            
            तूने देखा ना होगा ये समां
            
            तूने देखा ना होगा ये समां
            
            कैसे जाता है दम को देख ले
           
           
            आजा रे.. अब मेरा दिल पुकारा
            
            रो रो के ग़म भी हारा
            
            बदनाम न हो प्यार मेरा
            
            आजा रे..
           
           
"
19,"
           आजा रे आजा रे
           
           साजन आजा
           
           आजा रे आजा रे
           
           ओ महारे साजन आजा
           
           दिल की प्यास बुझा जा रे
           
           आजा
           
            साँझ अंधेरे ओर घने दिन
            
            याद थारी लावे
            
            साँझ अंधेरे ओर घने दिन
            
            याद थारी लावे
            
            पास कहीं जब आहट होवे
            
            लागे की तुम आवे
           
           
            आजा रे आजा रे
            
            ओ महारे साजन आजा
            
            दिल की प्यास बुझा जा रे
            
            आजा रे आजा रे
            
            ओ महारे साजन आजा
            
            मुझमें आके समाजा
           
           
            तन्हाई में परछाईं में
            
            मिलने तू मुझसे आया है
            
            इतने दिनों के बाद
           
           "
20,"
           
            आला रे आला सिम्मबा आला
           
           
            चा चा चाक्की चिक्कुम
            
            चा चा चाक्की चिक्कुम
            
            चा चा चाक्की चिक्कुम चा..
           
           
            
             हा.. हा..
            
           
           
            चा चा चाक्की चिक्कुम
            
            चा चा चाक्की चिक्कुम
            
            चा चा चाक्की चिक्कुम चा
           
           
            ए.. सिम्मबा
           
           
            मचिंगा मचिंगा ढोल अभी बजिंगा
            
            धिना धिन धाप देखो आज राजा नाचिंगा
            
            नाचिंगा नाचिंगा आज राजा नाचिंगा
           
           
            मचिंगा मचिंगा ढोल अभी बजिंगा
            
            धिना धिन धाप देखो आज राजा नाचिंगा
            
            आया तेरा आया राजा
            
            नाच मेरे साथ आजा
            
            भूल के तू बाजू वाली खिड़की की की
           
           
            लेने आया लेने आया सिम्मबा तेरी फिरकी
            
            रक् टिकी रक् टिकी टिकी टिकी..
            
            लेने आया लेने आया सिम्मबा तेरी फिरकी
            
            रक् टिकी रक् टिकी टिकी टिकी..
           
           
            
             melody
            
           
           
            एक दूनी दो, दो दूनी चार
            
            राजा नाचेगा सारा नाचेगा बाज़ार
            
            www.hinditracks.in
            
            तीन टिक्के नौ, नौ नुक्के बारह
            
            सारे मोहल्ले में सबके है प्यारा
           
           
            आया तेरा आया राजा
            
            नाच मेरे साथ आजा
            
            भूल के तू बाजू वाली खिड़की की की
           
           
            पां पां पां..
            
            रक् टिकी रक् टिकी..
            
            लेने आया लेने आया सिम्मबा तेरी फिरकी
            
            रक् टिकी रक् टिकी..
            
            पां पां पां..
           
           
            आला रे आला सिम्मबा आला
           
           "
