,Unnamed: 0,Hindi,English
24,24,"आज की रात लगता है
 
 बुरा ना मेरा नसीब है
 
 आ तूझे मैं ले चलूँ
 
 के घर मेरा थोड़ी करीब है
 
 
 मेरे कोलो कोलो लंगदी सी
 
 साप वांगु डंग दी सी
 
 तभी तो तुझी से दिल लगा लिया
 
 
 मेरी आंख तो बची ना
 
 देदे वि कोई हंसीना
 
 पर मुझे तेरी आँखों ने फंसा लिया 
 
 
 हो आँखों ने फंसा लिया
 
 हो आँखों आँखों ने फंसा लिया
 
 हो तेरी आँखों ने फंसा लिया
 
 हो आँखों आँखों ने फंसा लिया
 
 
 
 i know eactly what you lookin for
 
 
 
 but let me tell you i can give you more
 
 
 
 leave you mind on the floor
 
 
 
 baby just let it go
 
 
 
 i wish you let me take you home now
 
 
 
 home now
 
 
 home now
 
 
 
 आ तू नेड़े हौली हौली मेरे
 
 थक गया तेरे मैं ला ला के गेडे
 
 आ तू नेड़े हौली हौली मेरे
 
 गल सुन तेनु मैं लबना नि सवेरे
 
 
 मेरी आंख तो बची ना
 
 देदे वि कोई हंसीना
 
 पर मुझे तेरी आँखों ने फंसा लिया 
 
 
 हो आँखों ने फंसा लिया
 
 हो आँखों आँखों ने फंसा लिया
 
 हो तेरी आँखों ने फंसा लिया
 
 हो आँखों आँखों ने फंसा लिया
 
 
 देखी है दुनिया सारी
 
 देखा है सारा जहाँ
 
 पर तेरी जैसी कोई कहीं नहीं
 
 बात तो सुन ज़रा
 
 तू मेरी मैं हूँ तेरा
 
 कबसे कहना चाहता हूँ यहीं के
 
 
 आज की रात लगता है
 
 बुरा ना मेरा नसीब है
 
 आ तूझे मैं ले चलूँ
 
 के घर मेरा थोड़ी क़रीब है
 
 
 मेरे कोलो कोलो लंगदी सी
 
 साप वांगु डंग दी सी
 
 तभी तो तुझी से दिल लगा लिया
 
 
 मेरी आंख तो बची ना
 
 देदे वि कोई हंसीना
 
 पर मुझे तेरी आँखों ने फंसा लिया 
 
 
 हो आँखों ने फंसा लिया
 
 हो आँखों आँखों ने फंसा लिया
 
 हो तेरी आँखों ने फंसा लिया
 
 हो आँखों आँखों ने फंसा लिया
 
 यो यो हनी सिंह
 
 हो आँखों ने फंसा लिया
 
 हो आँखों आँखों ने फंसा लिया
 
 हो तेरी आँखों ने फंसा लिया
 
 हो आँखों आँखों ने फंसा लिया
 
 
 यो यो हनी सिंह","feels like tonight
 
 my luck is not bad
 
 come let me take you
 
 's house is a little closer to mine
 
 
 my colo colo is lame
 
 sap vangu dang di si
 
 That's why I fell in love with you
 
 
 my eyes are still intact
 
 Dede vi koi hansee
 
 but your eyes trapped me
 
 
 yes my eyes have trapped me
 
 yes, the eyes have trapped me
 
 yes your eyes have trapped me
 
 yes, the eyes have trapped me
 
 
 
 i know exactly what you looking for
 
 
 
 but let me tell you i can give you more
 
 
 
 leave you mind on the floor
 
 
 
 baby just let it go
 
 
 
 i wish you let me take you home now
 
 
 
 home now
 
 
 home now
 
 
 
 Come on me, slowly, slowly, mine.
 
 I'm tired of you crying
 
 Come on me, slowly, slowly, mine.
 
 Gal Sun Tenu Main Labna Ni Savere
 
 
 my eyes are still intact
 
 Dede vi koi hansee
 
 but your eyes trapped me
 
 
 yes my eyes have trapped me
 
 yes, the eyes have trapped me
 
 yes your eyes have trapped me
 
 yes, the eyes have trapped me
 
 
 have seen the whole world
 
 I have seen it everywhere
 
 But there is no one like you anywhere
 
 just listen to this
 
 you are mine i am yours
 
 I have been wanting to say for so long that I have been here
 
 
 feels like tonight
 
 my luck is not bad
 
 come let me take you
 
 's house is a little closer to mine
 
 
 my colo colo is lame
 
 sap vangu dang di si
 
 That's why I fell in love with you
 
 
 my eyes are still intact
 
 Dede vi koi hansee
 
 but your eyes trapped me
 
 
 yes, my eyes have trapped me
 
 yes the eyes have trapped me
 
 yes your eyes have trapped me
 
 yes the eyes have trapped me
 
 yo Yo Honey Singh
 
 yes, my eyes have trapped me
 
 yes the eyes have trapped me
 
 yes your eyes have trapped me
 
 yes the eyes have trapped me
 
 
 yo Yo Honey Singh"
25,25,"आँखों के सागर
 
 होठों के सागर
 
 आँखों के सागर
 
 होठों के सागर
 
 ले डूबे हमें ले डूबे हमें
 
 आँखों के सागर
 
 होठों के सागर
 
 
 ले डूबे हमें ले डूबे हमें
 
 
 पलकों को ऐसे पलकों से छू ले
 
 के जब दिल मिले तो मंजिल मिले
 
 तुम भी ना भूलो हम भी ना भूलें
 
 के जब दिल मिले तो मंजिल मिले
 
 आँखों के सागर
 
 
 तड़पना मेरा हँसना तेरा
 
 तड़पना मेरा हँसना तेरा
 
 नींदें मेरी सपना तेरा
 
 
 आँखों के सागर होठों के सागर
 
 ले डूबे हमें ले डूबे हमें
 
 
 ये जीवन मेरा ये ख़ुशियाँ सभी
 
 ये जीवन मेरा ये ख़ुशियाँ सभी
 
 तेरे नाम की तेरे नाम की
 
 
 आँखों के सागर होठों के सागर
 
 ले डूबे हमें ले डूबे हमें
 
 आँखों के
 
 होठों के सागर ले डूबे हमें
 
 आँखों के सागर होठों के सागर","ocean of eyes
 
 ocean of lips
 
 ocean of eyes
 
 ocean of lips
 
 take us drown take us drown
 
 ocean of eyes
 
 ocean of lips
 
 
 take us drown take us drown
 
 
 touch the eyelashes with such eyelashes
 
 When hearts meet, destination is reached
 
 You also don't forget, we also don't forget
 
 When hearts meet, destination is reached
 
 ocean of eyes
 
 
 my suffering and your laughter
 
 my suffering and your laughter
 
 sleep my dream yours
 
 
 ocean of eyes ocean of lips
 
 take us drown take us drown
 
 
 This life of mine, all this happiness
 
 This life of mine, all this happiness
 
 your name's your name's
 
 
 ocean of eyes ocean of lips
 
 take us drown take us drown
 
 of eyes
 
 drown us in the ocean of lips
 
 ocean of eyes ocean of lips"
26,26,"हो आँखों की गुस्ताखियाँ माफ हो
 
 आँखों की गुस्ताखियाँ माफ हो
 
 इक टुक तुम्हें देखती है
 
 जो बात कहना चाहे ज़ुबां
 
 तुमसे ये वो कहती है
 
 हो आँखों की गुस्ताखियाँ माफ हो
 
 आँखों की गुस्ताखियाँ माफ हो
 
 
 आँखों की शर्माओहया माफ हो
 
 तुम्हें देख के छुपती है
 
 उठी आँखे जो बात ना कह सकीं
 
 झुकी आँखें वो कहती है
 
 
 काजल का एक तिल
 
 तुम्हारे लबों पे लगा दूँ
 
 चंदा और सूरज की नज़रों से
 
 तुमको बचा लूँ
 
 पलकों की चिलमन में
 
 आओ मैं तुमको छुपा लूँ
 
 ख़यालों की ये शोखियाँ माफ हो
 
 हरदम तुम्हें सोचती है
 
 जब होश में होता है जहां
 
 मदहोश ये करती है
 
 आँखों की गुस्ताखियाँ माफ हो
 
 
 ये ज़िन्दगी आपकी ही
 
 अमानत रहेगी
 
 दिल में सदा आपकी ही
 
 मोहब्बत रहेगी
 
 इन साँसों को आपकी ही ज़रूरत रहेगी
 
 इस दिल की नादानियाँ माफ हो
 
 ये मेरी कहा सुनती हैं
 
 ये पलपल जो होती है बेकल सनम
 
 तो सपने नये बुनती हैं
 
 आँखों की गुस्ताखियाँ माफ हो
 
 
 हो आँखों की गुस्ताखियाँ माफ हो
 
 आँखों की गुस्ताखियाँ माफ हो","yes please forgive the mischievousness of your eyes
 
 please forgive the mischievousness of your eyes
 
 looks at you blankly
 
 Whatever the tongue wants to say
 
 she says this to you
 
 yes please forgive the mischievousness of your eyes
 
 please forgive the mischievousness of your eyes
 
 
 shyness of eyes oh please forgive me
 
 hides after seeing you
 
 eyes raised that couldn't say anything
 
 with downcast eyes she says
 
 
 a mole of kajal
 
 let me put it on your lips
 
 Through the eyes of Chanda and Suraj
 
 save you
 
 in the drapery of the eyelids
 
 come let me hide you
 
 Please forgive these flirtations of thoughts
 
 always thinking of you
 
 when conscious where
 
 drunk does this
 
 please forgive the mischievousness of your eyes
 
 
 this life is yours only
 
 there will be trust
 
 always yours in my heart
 
 love will remain
 
 These breaths will need you only
 
 Forgive the foolishness of this heart
 
 she listens to me
 
 Bekal sanam is the palpal
 
 so we weave new dreams
 
 please forgive the mischievousness of your eyes
 
 
 yes please forgive the mischievousness of your eyes
 
 please forgive the mischievousness of your eyes"
27,27,"हमसे रौशन हैं चाँद और तारे
 
 हमको दामन समझिये ग़ैरत का
 
 उठ गये हम अगर ज़माने से
 
 नाम मिट जायेगा मुहब्बत का
 
 दिल है नाज़ुक कली से फूलों से
 
 ये न टूटे ख़याल रखियेगा
 
 और अगर आप से यह टूट गया
 
 जानएजां इतना ही समझीयेगा
 
 
 क्या
 
 फिर कोई बाँवरी मुहब्बत की
 
 अपनी ज़ुल्फ़ें नहीं सँवारेगी
 
 आरती फिर किसी कन्हैया की
 
 कोई राधा नहीं उतारेगी
 
 
 आओ हुज़ूर तुमको सितारों में ले चलूँ
 
 दिल झूम जाए ऐसी बहारों में ले चलूँ 
 
 आओ हुज़ूर आओ
 
 
 हमराज़ हमख़याल तो हो हमनज़र बनो
 
 तय होगा ज़िंदगी का सफ़र हमसफ़र बनो 
 
 आ हा आ
 
 
 चाहत के उजलेउजले नज़ारों में ले चलूँ
 
 दिल झूम जाए ऐसी बहारों में ले चलूँ
 
 आओ हुज़ूर आओ
 
 
 लिख दो अह
 
 लिख दो किताबएदिल पे कोई ऐसी दास्तां
 
 जिसकी मिसाल दे न सकें सातों आसमां 
 
 आ हा आ
 
 
 बाहों में बाहें डाले हज़ारों में ले चलूँ हाय
 
 दिल झूम जाए ऐसी बहारों में ले चलूँ
 
 
 आओ हुज़ूर तुमको सितारों में ले चलूँ
 
 दिल झूम जाए ऐसी बहारों में ले चलूँ
 
 आओ हुज़ूर आओ","The moon and stars are brighter than us
 
 consider us the hem of evil
 
 If we got up from the times
 
 the name of love will disappear
 
 The heart is from a delicate bud to flowers
 
 Be careful not to break this
 
 And if it broke with you
 
 Once you know, you will understand only this much
 
 
 What
 
 then some sweet love
 
 won't comb her hair
 
 Aarti again of some Kanhaiya
 
 no Radha will remove
 
 
 Come sir, let me take you to the stars
 
 Let me take you to such springs that your heart will swell.
 
 come sir come
 
 
 Be our friend, be our friend, be our friend
 
 Life's journey will be decided, be your companion
 
 aa haa aa
 
 
 Let me take you to the bright scenes of love
 
 Let me take you to such springs that your heart will swell.
 
 come sir come
 
 
 write it down
 
 Write a book with such a story on your heart.
 
 Whose example the seven heavens cannot give
 
 aa haa aa
 
 
 Let me carry you with you in my arms, among thousands.
 
 Let me take you to such springs that your heart will swell.
 
 
 Come sir, let me take you to the stars
 
 Let me take you to such springs that your heart will swell.
 
 come sir come"
28,28,"आओ आओ ना बेबी
 
 आओ आओ ओ ओ 4
 
 बस ये बता दे
 
 काहे दिखाए तन्त्रुम
 
 तू जो बोले तो
 
 तेरे पीछे मंजनू हो जाऊं
 
 कहने मैं आती
 
 है हमको थोड़ी सी शर्म
 
 
 but
 
 तेरी गोदी का
 
 पिल्लो बना के सो जाऊं
 
 
 हो कहते आये हम तो फ़रवरी से
 
 निकलो कभी डार्लिंग चंदेरी से
 
 तनिक आओ कभी हवेली पे
 
 
 ओ हो आये हाय ओहो
 
 आओ कभी हवेली पे
 
 आये हाय आ गया आ गया
 
 आओ कभी हवेली पे
 
 
 अरे सोते सोते भूख लगी
 
 खा लो बेबी मूंगफली
 
 मूंगफली में दाना नहीं
 
 किसी को कुछ भी बताना नहीं
 
 जो बोलेगी कर दूंगा
 
 पर करना सब चुपचाप है
 
 दिल विल तेरा चुराना नहीं
 
 क्योंकि चोरी करना पाप है
 
 पाप है
 
 तेरा यार सभी का बाप है
 
 
 आज रात का ड्रेस कॉड है
 
 लाल चोली में आँख मिचोली
 
 बन जाऊं मैं अनुष्का
 
 और तू बन जाये कोहली
 
 पर लगना तू लिट्
 
 af
 
 तू
 
 बन ठन आजा
 
 asap
 
 तू
 
 
 डोलो अकेले नहीं
 
 तुम यार दोस्त के साथ पधारो
 
 
 i got my
 
 सखियाँ
 
 है प्लान हाज़ारों तुम रात संवारो
 
 पर लगना तू लिट्
 
 af
 
 तू
 
 बन ठन आजा
 
 asap
 
 तू
 
 
 सेटिंग है सीधी तेरी सहेली से
 
 झुमका मंगवाया हमने बरेली से
 
 तनिक आओ कभी हवेली पे
 
 
 आ गया देखो ना आ गया
 
 आ गया देखो ना
 
 आओ कभी हवेली पे
 
 आ गया देखो ना आ गया
 
 आ गया देखो ना
 
 आओ कभी हवेली पे
 
 
 आओ आओ ना बेबी
 
 आओ आओ ओ ओ
 
 आओ आओ ना बेबी
 
 आओ आओ ओ ओ
 
 ओये होए आ गया
 
 आओ आओ ना बेबी
 
 आओ आओ ओ ओ
 
 आ गया
 
 आओ आओ ना बेबी
 
 आओ आओ ओ ओ","come come baby
 
 come come oh oh 4
 
 just tell me this
 
 why show tantrum
 
 whatever you say
 
 I will follow you Manjanu
 
 I come to tell you
 
 we have a little shame
 
 
 but
 
 of your lap
 
 make a pillow and sleep
 
 
 Yes, we have been saying this since February.
 
 Get out of Chanderi sometime darling
 
 come to the mansion sometime
 
 
 oh ho come hi oho
 
 come to the mansion sometime
 
 come hi come come come
 
 come to the mansion sometime
 
 
 hey i got hungry while sleeping
 
 eat baby peanuts
 
 no grains in peanuts
 
 don't tell anyone anything
 
 I will do whatever you say
 
 but everything is done quietly
 
 I will not steal my heart
 
 because stealing is a sin
 
 is a sin
 
 your friend is the father of all
 
 
 tonight's dress code is
 
 eye catching red blouse
 
 I will become Anushka
 
 And you become Kohli
 
 but feel like you are lying
 
 af
 
 you
 
 come and fight
 
 asap
 
 you
 
 
 Dolo not alone
 
 you friend come with your friend
 
 
 i got my
 
 friends
 
 There is a plan for thousands of you to brighten the night.
 
 but feel like you are lying
 
 af
 
 you
 
 come and fight
 
 asap
 
 you
 
 
 The setting is straight from your friend
 
 We ordered earrings from Bareilly
 
 come to the mansion sometime
 
 
 Look, he is here!
 
 Look he is here
 
 come to the mansion sometime
 
 Look, he is here!
 
 Look he is here
 
 come to the mansion sometime
 
 
 come come baby
 
 come come oh oh
 
 come come baby
 
 come come oh oh
 
 hey hey he's here
 
 come come baby
 
 come come oh oh
 
 came
 
 come come baby
 
 come come oh oh"
29,29,"जले जले जले दिये से जल रही
 
 सारी ज़िन्दगी ओ…","burning burning burning burning from the lamp
 
 Whole life..."
30,30,"आओगे जब तुम ओ साजना…
 
 आओगे जब तुम ओ साजना
 
 अंगना फूल खिलेंगे
 
 बरसेगा सावन
 
 बरसेगा सावन झूम झूमके
 
 दो दिल ऐसे मिलेंगे
 
 
 आओगे जब तुम ओ साजना…
 
 अंगना फूल खिलेंगे
 
 
 नैना तेरे कजरारे हैं
 
 नैनों पे हम दिल हारे हैं
 
 अनजाने ही तेरे नैनों ने
 
 वादे किए कई सारे हैं
 
 साँसों की ले मद्धम चलें तोसे कहे
 
 बरसेगा सावन…
 
 बरसेगा सावन झूम झूमके
 
 दो दिल ऐसे मिलेंगे
 
 
 चंदा को ताकूँ रातों में
 
 है ज़िन्दगी तेरे हाथों में
 
 पलकों पे झिलमिल तारें हैं
 
 आना भरी बरसातों में
 
 सपनों का जहाँ
 
 होगा खिला खिला
 
 बरसेगा सावन
 
 बरसेगा सावन झूम झूमके
 
 दो दिल ऐसे मिलेंगे
 
 
 अंगना फूल खिलेंगे
 
 अंगना फूल खिलेंगे
 
 
 पा नि सा रे पा मा…
 
 अंगना फूल खिलेंगे","When you come oh Saajna…
 
 You will come when you O Sajana
 
 angana flowers will bloom
 
 monsoon will rain
 
 Sawan will rain with full swing
 
 two hearts will meet like this
 
 
 When you come oh Saajna…
 
 angana flowers will bloom
 
 
 Naina is your prisoner
 
 We have lost our hearts on our eyes
 
 unknowingly your eyes
 
 many promises have been made
 
 Told you to slow down your breathing
 
 Sawan will rain…
 
 Sawan will rain with full swing
 
 two hearts will meet like this
 
 
 Staring at Chanda in the nights
 
 life is in your hands
 
 there are twinkling stars on the eyelids
 
 in the rainy season
 
 place of dreams
 
 will be blooming
 
 monsoon will rain
 
 Sawan will rain with full swing
 
 two hearts will meet like this
 
 
 angana flowers will bloom
 
 angana flowers will bloom
 
 
 Pa ni sa re pa ma…
 
 angana flowers will bloom"
31,31,"आप जैसा कोई मेरी ज़िंदगी में आये
 
 तो बात बन जाये हाँ हाँ बात बन जाये 2","someone like you came into my life
 
 So let it be done yes yes let it be done 2"
32,32,"आप की नज़रों ने समझा
 
 प्यार के काबिल मुझे
 
 दिल की ऐ धड़कन ठहर जा
 
 मिल गयी मंझील मुझे
 
 आप की नज़रों ने समझा
 
 
 जी हमे मंजूर है
 
 आप का ये फैसला
 
 जी हमे मंजूर है
 
 आप का ये फैसला
 
 कह रही है हर नजर
 
 बन्दा परवर शुक्रिया
 
 दो जहां की आज खुशियाँ
 
 हो गयी हासिल मुझे
 
 आप की नज़रों ने समझा
 
 
 आप की मंझील हूँ मैं
 
 मेरी मंझील आप हैं
 
 आप की मंझील हूँ मैं
 
 मेरी मंझील आप हैं
 
 क्यों मैं तूफ़ान से डरू
 
 मेरा साहिल आप हैं
 
 कोई तूफानों से कह दे
 
 मिल गया साहिल मुझे
 
 आप की नज़रों ने समझा
 
 प्यार के काबिल मुझे
 
 आप की नज़रों ने समझा","your eyes understood
 
 I am worthy of love
 
 O heartbeat, stop!
 
 I found my destination
 
 your eyes understood
 
 
 yes we agree
 
 this decision of yours
 
 yes we agree
 
 this decision of yours
 
 every eye is saying
 
 Banda Parwar thank you
 
 Give happiness today
 
 I have achieved it
 
 your eyes understood
 
 
 I am your destination
 
 you are my destination
 
 I am your destination
 
 you are my destination
 
 why should i be afraid of storm
 
 you are my sahil
 
 someone tell the storms
 
 I found Sahil
 
 your eyes understood
 
 I am worthy of love
 
 your eyes understood"
33,33,"हल्का हल्का सा है नूर दिल में
 
 साँसों में भी है आहिस्तगी
 
 बेईक्तेयारी ये कह रही है
 
 मेरी तो दुनिया बस आप ही
 
 
 आप से आशिक़ी
 
 आप से मौसिक़ी मौसिक़ी आप से
 
 
 आप से आशिक़ी
 
 आप से मौसिक़ी मौसिक़ी
 
 आ मौसिक़ी
 
 
 कब से जाने कब से
 
 मेरे दिल में है ये बेकरारियां
 
 धीमे धीमेधीमे
 
 सीने पे यादें चलाये आरियाँ
 
 
 रब से है ये गुजारिशें
 
 कायम रहे ये ख्वाहिशें
 
 मैं इन मंज़र तो बस आप हैं
 
 
 बहार बहार के है किस्से है सारे
 
 मेरे अन्दर तो बस आप है
 
 
 आप से आशिकी
 
 आप से मौसिकी मौसिकी
 
 आ मौसिकी","There is a little light in the heart
 
 There is slowness even in breathing
 
 Dishonesty is saying this
 
 My world is only you
 
 
 in love with you
 
 Music with you Music with you
 
 
 in love with you
 
 Mousiki Mousiki from you
 
 Come on my dear
 
 
 since who knows when
 
 There is this hunger in my heart
 
 slowly slowly
 
 Tears of memories on the chest
 
 
 These are requests from God
 
 May these wishes remain intact
 
 I am just you in this scene
 
 
 All are tales of springtime
 
 there is only you inside me
 
 
 in love with you
 
 Aunty Aunty to you
 
 come aunty"
34,34,"सदियों की मदहोशियों से
 
 सोया हुआ दिल जगा हाँ हाँ
 
 हलकी सी सरगोशियों से
 
 किस्मत का ताला खुला हाँ हाँ
 
 जो हो रहा था सच्चा लगा
 
 जो हो रहा था सच्चा लगा
 
 हाँ लगा
 
 
 आप से मिलकर अच्छा लगा
 
 आप से मिलकर अच्छा लगा
 
 आप से मिलकर अच्छा लगा
 
 अच्छा लगा 2
 
 
 होए टुक टुक लगा कर
 
 सिंगल बना कर
 
 जवानी का ओवर गुज़रता रहा
 
 
 होए टुक टुक लगा कर
 
 सिंगल बना कर
 
 जवानी का ओवर गुज़रता रहा
 
 आप मिले तो छक्का लगा
 
 आप मिले तो छक्का लगा
 
 हाँ लगा
 
 
 आप से मिलकर अच्छा लगा
 
 आप से मिलकर अच्छा लगा
 
 आप से मिलकर अच्छा लगा
 
 अच्छा लगा 2
 
 
 हो अच्छा लगा","from the intoxication of centuries
 
 wake up the sleeping heart yes yes
 
 with gentle whispers
 
 lock of luck opened yes yes
 
 what was happening felt real
 
 what was happening felt real
 
 yes felt
 
 
 Nice to meet you
 
 Nice to meet you
 
 Nice to meet you
 
 liked it 2
 
 
 hoye tuk tuk
 
 by making a single
 
 youth passed by
 
 
 hoye tuk tuk
 
 by making a single
 
 youth passed by
 
 When I met you it was a six
 
 When I met you it was a six
 
 yes felt
 
 
 Nice to meet you
 
 Nice to meet you
 
 Nice to meet you
 
 liked it 2
 
 
 yes, I liked it"
35,35,"मैं आरती तेरी गाऊं
 
 ओ केशव कुंज बिहारी
 
 मैं आरती तेरी गाऊं
 
 ओ केशव कुंज बिहारी
 
 मैं नित नित शीश नवाऊं
 
 ओ मोहन कृष्ण मुरारी
 
 मैं नित नित शीश नवाऊं
 
 ओ मोहन कृष्ण मुरारी
 
 
 है तेरी छबी अनोखी
 
 ऐसी ना दूजी देखी
 
 है तेरी छबी अनोखी
 
 ऐसी ना दूजी देखी
 
 
 तुझसा ना सुन्दर कोई
 
 ओ मौर मुकुट धारी
 
 तुझसा ना सुन्दर कोई
 
 ओ मौर मुकुट धारी
 
 
 मैं आरती तेरी गाऊं
 
 ओ केशव कुंज बिहारी
 
 
 जो आये सरण तिहारे
 
 बिपदा मिट जाये सारी
 
 जो आये सरण तिहारे
 
 बिपदा मिट जाये सारी
 
 
 हम सबपर कृपा रखना
 
 ओ जगत के पालन हारे
 
 हम सबपर कृपा रखना
 
 ओ जगत के पालन हारे
 
 
 मैं आरती तेरी गाऊं
 
 ओ केशव कुंज बिहारी","I will sing your aarti
 
 o Keshav Kunj Bihari
 
 I will sing your aarti
 
 o Keshav Kunj Bihari
 
 I bow my head every day
 
 o Mohan Krishna Murari
 
 I bow my head every day
 
 o Mohan Krishna Murari
 
 
 your image is unique
 
 I have never seen another like this.
 
 your image is unique
 
 I have never seen another like this.
 
 
 no one is as beautiful as you
 
 Oh peacock crowned
 
 no one is as beautiful as you
 
 Oh peacock crowned
 
 
 I will sing your aarti
 
 o Keshav Kunj Bihari
 
 
 Those who come to Saran Tihare
 
 May all troubles disappear
 
 Those who come to Saran Tihare
 
 May all troubles disappear
 
 
 have mercy on us all
 
 O follower of the world
 
 have mercy on us all
 
 O follower of the world
 
 
 I will sing your aarti
 
 o Keshav Kunj Bihari"
36,36,"गो
 
 ओह मेरे यारा सौ बारा
 
 बुलाया की करना
 
 जे तू ना आया फिर दस दे
 
 गुज़ारा की करां
 
 है मेरा आशिक है आशिक
 
 आवारा की करां
 
 
 come close to me
 
 
 
 तू आजा नेड़े नेड़े
 
 तू आजा नेड़े नेड़े
 
 तू आजा ना
 
 
 come close to me
 
 
 तू आजा नेड़े नेड़े
 
 तू आजा नेड़े नेड़े
 
 तू आजा ना
 
 
 बस तुझ जैसी चाहिए मेरे जैसे को
 
 दुनिया में कुडिया है काफी वैसे तो
 
 दो मिनटों में लाखों उड़ा दूं
 
 आग लगा दूं तेरे पीछे सारे पैसे को
 
 कर थोड़ा सा और सबर बेबी
 
 जलने वालों की ले लो खबर बेबी
 
 माना थोड़ा सा हूँ
 
 busy
 
 बेबी
 
 पर मिलने पे देख कैसे करता हूँ कसार बेबी
 
 
 you’re my baby
 
 you’re my right hand
 
 we facetime
 
 all night fame
 
 
 फॉलो करे जो तू अपना डाइट प्लान
 
 तेरी फिगर बदल दे मेरा फ्लाइट प्लान
 
 ओ
 
 
 पता नहीं समझाऊँ तुझसे कैसे
 
 अब शायद लगे ये सज़ा
 
 पता तुझे भी है मुझको मिलके
 
 तुझे कितना आएगा मज़ा
 
 
 ओह मेरे यारा सौ बारा
 
 बुलाया की करना
 
 जे तू ना आया फिर दस दे
 
 गुज़ारा की करां
 
 है मेरा आशिक है आशिक
 
 आवारा की करां
 
 
 come close to me
 
 
 
 तू आजा नेड़े नेड़े
 
 तू आजा नेड़े नेड़े
 
 तू आजा ना
 
 
 come close to me
 
 
 तू आजा नेड़े नेड़े
 
 तू आजा नेड़े नेड़े
 
 तू आजा ना
 
 
 ये तेरी सारी गर्ल फ्रेंड करे मुझे हट
 
 तेरे मेरे ब्रेकअप का करती है वेट
 
 कुछ शायद चाहती नहीं की तू खुश रहे
 
 कुछ शायद मुझे करना चाहती है डेट
 
 उंह
 
 
 but
 
 उन्हें क्या पता बेबी उन्हें क्या खबर
 
 मुझको तो है बस तेरी ही फिकर
 
 गानों में रहे मेरे तेरा ही जीकर
 
 बेबी दिल भी है तेरा बेबी तेरा है जिगर
 
 वाह
 
 
 
 i know
 
 की तुझको पता है
 
 तेरा हाथ मेरे हाथों से छूटेगा नहीं
 
 तेरा मेरा रिश्ता बेबी जैसे
 
 diomond
 
 
 
 shine
 
 करेगा और टूटेगा नहीं
 
 
 रखा क्या है बता
 
 मुझको इन बातों में
 
 ढूंढें क्या बनके तू
 
 पागल इन रातों में 2
 
 
 है इतनी अर्जी
 
 खुदगर्ज़ी ना मर्ज़ी तू चला
 
 मुझको बता दे
 
 समझा दे क्या करूँ तेरे बिना
 
 
 ओह मेरे यारा सौ बारा
 
 बुलाया की करना
 
 जे तू ना आया फिर दस दे
 
 गुज़ारा की करां
 
 है मेरा आशिक है आशिक
 
 आवारा की करां
 
 come close to me
 
 
 तू आजा नेड़े नेड़े
 
 तू आजा नेड़े नेड़े
 
 तू आजा ना
 
 come close to me
 
 तू आजा नेड़े नेड़े
 
 तू आजा नेड़े नेड़े
 
 तू आजा ना
 
 
 दस दे दस दे दस दे
 
 मैं की करां
 
 दस दे दस दे दस दे
 
 मैं की करां","Go
 
 oh my friend hundred twelve
 
 called to do
 
 If you don't come then give me ten
 
 subsistence allowance
 
 he is my lover he is my lover
 
 vagabond tax
 
 
 come close to me
 
 
 
 you come nede nede
 
 you come nede nede
 
 you come here
 
 
 come close to me
 
 
 you come nede nede
 
 you come nede nede
 
 you come here
 
 
 Only someone like me needs you
 
 There are enough bitch in the world
 
 I can blow away millions in two minutes
 
 I will set fire to all the money behind you
 
 Do a little more patience baby
 
 Baby, take notice of those who are burning.
 
 I mean, I am a little
 
 busy
 
 Baby
 
 But when I meet you, how can I do it, baby?
 
 
 you're my baby
 
 you're my right hand
 
 we facetime
 
 all night fame
 
 
 Follow your diet plan
 
 Your figure will change my flight plan
 
 O!
 
 
 I don't know how to explain it to you
 
 Now maybe this punishment will be imposed
 
 you also know me
 
 how much fun you will have
 
 
 oh my friend hundred twelve
 
 called to do
 
 If you don't come then give me ten
 
 subsistence allowance
 
 he is my lover he is my lover
 
 vagabond tax
 
 
 come close to me
 
 
 
 you come nede nede
 
 you come nede nede
 
 you come here
 
 
 come close to me
 
 
 you come nede nede
 
 you come nede nede
 
 you come here
 
 
 All these girlfriends of yours should move me away.
 
 Waits for your breakup
 
 something probably doesn't want you to be happy
 
 Some might want to date me
 
 uhh
 
 
 but
 
 What do they know baby what do they know
 
 I only care about you
 
 May your songs remain alive by singing
 
 Baby, my heart is yours too, baby, my heart is yours.
 
 Wow
 
 
 
 i know
 
 that you know
 
 Your hand will not leave my hands
 
 Your relationship with me is like a baby.
 
 diamond
 
 
 
 shine
 
 will do and will not break
 
 
 tell me what is there
 
 me in these things
 
 Find out what you will become
 
 crazy these nights 2
 
 
 there is so much petition
 
 You go selfishly or willingly.
 
 tell me
 
 Please explain what should I do without you
 
 
 oh my friend hundred twelve
 
 called to do
 
 If you don't come then give me ten
 
 subsistence allowance
 
 he is my lover he is my lover
 
 vagabond tax
 
 come close to me
 
 
 you come nede nede
 
 you come nede nede
 
 you come here
 
 come close to me
 
 you come nede nede
 
 you come nede nede
 
 you come here
 
 
 give ten give ten give ten
 
 i do
 
 give ten give ten give ten
 
 i do"
